STATION,NAME,DATE,TMAX,TMIN
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/17/03,51,39
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/18/03,58,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/19/03,64,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/20/03,59,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/21/03,62,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/22/03,61,53
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/23/03,72,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/24/03,64,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/25/03,59,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/26/03,64,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/27/03,75,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/28/03,66,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/29/03,70,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/30/03,67,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/31/03,64,53
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/1/03,62,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/2/03,64,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/3/03,70,43
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/4/03,76,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/5/03,81,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/6/03,84,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/7/03,79,57
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/8/03,74,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/9/03,66,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/10/03,62,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/11/03,63,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/12/03,60,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/13/03,61,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/14/03,68,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/15/03,70,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/16/03,74,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/17/03,77,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/18/03,66,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/19/03,62,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/20/03,57,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/21/03,59,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/22/03,59,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/23/03,65,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/24/03,69,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/25/03,72,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/26/03,75,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/27/03,74,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/28/03,83,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/29/03,74,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",6/30/03,64,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/1/03,66,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/2/03,68,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/3/03,70,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/4/03,68,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/5/03,68,57
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/6/03,73,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/7/03,68,53
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/8/03,67,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/9/03,77,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/10/03,84,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/11/03,72,59
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/12/03,74,58
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/13/03,69,57
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/14/03,72,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",7/15/03,74,53
