,neighborhood,year,month,day,day_of_week,day_segment,number_of_crimes
197,Renfrew-Collingwood,2018,7,28,Saturday,1200pm-1159pm,3.068857431411743
198,Renfrew-Collingwood,2018,7,29,Sunday,1200am-1159am,2.230750560760498
199,Renfrew-Collingwood,2018,7,29,Sunday,1200pm-1159pm,3.068857431411743
200,Renfrew-Collingwood,2018,7,30,Monday,1200am-1159am,2.230750560760498
201,Renfrew-Collingwood,2018,7,30,Monday,1200pm-1159pm,3.068857431411743
202,Renfrew-Collingwood,2018,7,31,Tuesday,1200am-1159am,2.230750560760498
203,Renfrew-Collingwood,2018,7,31,Tuesday,1200pm-1159pm,3.068857431411743
204,Renfrew-Collingwood,2018,8,1,Wednesday,1200am-1159am,2.2645492553710938
205,Renfrew-Collingwood,2018,8,1,Wednesday,1200pm-1159pm,3.114927053451538
206,Renfrew-Collingwood,2018,8,2,Thursday,1200am-1159am,2.2645492553710938
207,Renfrew-Collingwood,2018,8,2,Thursday,1200pm-1159pm,3.114927053451538
208,Renfrew-Collingwood,2018,8,3,Friday,1200am-1159am,2.2645492553710938
209,Renfrew-Collingwood,2018,8,3,Friday,1200pm-1159pm,3.114927053451538
210,Hastings-Sunrise,2018,7,28,Saturday,1200am-1159am,1.741269588470459
211,Hastings-Sunrise,2018,7,28,Saturday,1200pm-1159pm,2.21580171585083
212,Hastings-Sunrise,2018,7,29,Sunday,1200am-1159am,1.741269588470459
213,Hastings-Sunrise,2018,7,29,Sunday,1200pm-1159pm,2.21580171585083
214,Hastings-Sunrise,2018,7,30,Monday,1200am-1159am,1.741269588470459
215,Hastings-Sunrise,2018,7,30,Monday,1200pm-1159pm,2.21580171585083
216,Hastings-Sunrise,2018,7,31,Tuesday,1200am-1159am,1.741269588470459
217,Hastings-Sunrise,2018,7,31,Tuesday,1200pm-1159pm,2.21580171585083
218,Hastings-Sunrise,2018,8,1,Wednesday,1200am-1159am,1.7998838424682617
219,Hastings-Sunrise,2018,8,1,Wednesday,1200pm-1159pm,2.286686897277832
220,Hastings-Sunrise,2018,8,2,Thursday,1200am-1159am,1.7998838424682617
221,Hastings-Sunrise,2018,8,2,Thursday,1200pm-1159pm,2.286686897277832
222,Hastings-Sunrise,2018,8,3,Friday,1200am-1159am,1.7998838424682617
223,Hastings-Sunrise,2018,8,3,Friday,1200pm-1159pm,2.286686897277832
224,Kensington-Cedar Cottage,2018,7,28,Saturday,1200am-1159am,1.994694709777832
225,Kensington-Cedar Cottage,2018,7,28,Saturday,1200pm-1159pm,2.7120492458343506
226,Kensington-Cedar Cottage,2018,7,29,Sunday,1200am-1159am,1.994694709777832
227,Kensington-Cedar Cottage,2018,7,29,Sunday,1200pm-1159pm,2.7120492458343506
228,Kensington-Cedar Cottage,2018,7,30,Monday,1200am-1159am,1.994694709777832
229,Kensington-Cedar Cottage,2018,7,30,Monday,1200pm-1159pm,2.7120492458343506
230,Kensington-Cedar Cottage,2018,7,31,Tuesday,1200am-1159am,1.994694709777832
231,Kensington-Cedar Cottage,2018,7,31,Tuesday,1200pm-1159pm,2.7120492458343506
